2025-10-07 02:46:59 | INFO     | CELERY | 📋 Task ID: 1789a037-ba65-4baa-a79b-a5838374c61c
2025-10-07 02:46:59 | INFO     | CELERY | 📄 File: kv_resume_iter_2 (1).pdf
2025-10-07 02:46:59 | INFO     | CELERY | 📂 Path: D:\VITBOT\backend\app\routers\../../uploads/admin_documents\20251007_024654_kv_resume_iter_2_(1).pdf
2025-10-07 02:46:59 | INFO     | CELERY | ⚡ Using cached embeddings model - fast loading!
2025-10-07 02:47:00 | INFO     | CELERY | 🚀 DocumentProcessor initialized with English support
2025-10-07 02:47:00 | INFO     | CELERY | Loading and extracting text from admin PDF...
2025-10-07 02:47:00 | INFO     | CELERY | 📝 Detected language: english
2025-10-07 02:47:00 | INFO     | CELERY | 📊 Text stats: 5087 chars, English: 91.4%
2025-10-07 02:47:00 | INFO     | CELERY | Admin PDF text extracted - 5087 characters from 1 pages, Language: english
2025-10-07 02:47:00 | INFO     | CELERY | Splitting english text into chunks...
2025-10-07 02:47:00 | INFO     | CELERY | Text split into 7 chunks for admin document
2025-10-07 02:47:00 | INFO     | CELERY | Adding chunks directly to global vector store...
2025-10-07 02:47:00 | INFO     | CELERY | admin_documents table exists: True
2025-10-07 02:47:00 | INFO     | CELERY | Document chunks and global vector store tables created successfully
2025-10-07 02:47:00 | INFO     | CELERY | Loaded existing global vector store with 60 vectors
2025-10-07 02:47:00 | INFO     | CELERY | Added 7 chunks from document 1 to global store
2025-10-07 02:47:00 | INFO     | CELERY | Global store now has 67 total vectors
2025-10-07 02:47:00 | INFO     | CELERY | Added 7 chunks for document 1
2025-10-07 02:47:00 | INFO     | CELERY | Loaded existing global vector store with 67 vectors
2025-10-07 02:47:00 | INFO     | CELERY | Global vector store updated - Total vectors: 67, Total documents: 2
2025-10-07 02:47:00 | INFO     | CELERY | Finalizing admin document processing...
2025-10-07 02:47:00 | INFO     | CELERY | Cleared global vector store cache
